# harbour-strokecat 5-stroke dictionary
# format: <char>	<code>	<freq>
# code: 1=横 2=竖 3=撇 4=捺(含点) 5=折(含勾)
# sources: RIME stroke.dict.yaml + jieba freq
了	55	883634
是	251112134	796991
在	132121	727915
和	31234251	555815
有	133511	423765
他	32525	401339
不	1324	360331
我	3151543	328841
的	32511354	318825
人	34	313209
也	525	307851
爲	344335554444	295952
为	4354	295952
就	412515341354	273122
這	4111251454	261791
这	4134454	261791
上	211	258101
年	311212	248559
中	2512	243191
你	3235234	234587
說	41112513425135	219817
说	454325135	219817
一	1	217830
到	15412125	205341
都	1213251152	202780
等	314314121154	195934
着	43111325111	188584
對	22431431121124	184674
对	54124	184674
來	12343434	161501
来	1431234	161501
与	151	160984
與	3211152511134	160984
地	121525	160541
还	1324454	157058
還	2522112513234454	157058
要	125221531	156581
又	54	150749
大	134	144099
而	132522	143233
之	454	140957
道	431325111454	140545
以	5434	136106
得	33225111154	134479
她	531525	134035
個	3225122511	125538
个	342	125538
后	331251	124793
後	332554354	124793
去	12154	123402
将	412354124	122305
將	52133544154	122305
那	511352	111550
但	3225111	110709
從	33234342134	110435
从	3434	110435
月	3511	110207
下	124	108294
把	1515215	108066
被	4523453254	106845
于	115	106176
於	41533444	106176
時	2511121124	103735
时	2511154	103735
只	25134	101442
多	354354	98900
过	124454	97817
過	25525251454	97817
可	12512	95892
并	431132	93868
並	43122431	93868
能	5425113535	93096
好	531551	92543
会	341154	92091
會	3412524312511	92091
出	52252	85847
或	12511543	78942
日	2511	78695
由	25121	78203
里	2511121	77054
裏	4125112113534	77054
用	35112	76586
所	33513312	76462
向	325251	75979
已	515	72638
其	12211134	71322
给	551341251	69480
給	554444341251	69480
很	332511534	69103
看	311325111	66641
使	32125134	64655
前	431351122	62779
新	4143112343312	62626
想	1234251114544	61904
却	1215452	61348
卻	343425152	61348
它	44535	60864
最	251112211154	60450
見	2511135	58965
见	2535	58965
起	1212134515	58684
小	234	57969
高	4125125251	57483
更	1251134	56478
如	531251	56065
再	125211	55507
才	153	55415
便	321251134	55339
沒	4443554	52407
没	4443554	52407
走	1212134	50437
做	32122513134	50331
讓	411125141251251112213534	50310
让	45211	50310
內	2534	50204
内	2534	50204
及	354	49988
聽	1221111121122522114544	45776
听	2513312	45776
成	135543	44880
各	354251	44807
事	12515115	44769
号	25115	44621
號	2511521531535	44621
至	154121	43708
叫	25152	43431
兩	12523434	43011
两	1253434	43011
當	2434525125121	42694
当	534511	42694
三	111	42542
本	12341	42207
无	1135	42181
無	311222214444	42181
此	212115	41979
们	32245	41212
們	3225112511	41212
家	4451353334	41022
長	12111534	40281
长	3154	40281
市	41252	40141
門	25112511	39823
门	425	39823
正	12121	37763
同	251251	37578
吃	251315	36799
天	1134	35979
比	1515	35305
米	431534	35136
外	35424	35084
即	5115452	34677
分	3453	34660
問	25112511251	34296
问	425251	34296
話	4111251312251	34240
话	45312251	34240
打	12112	33853
老	121335	33423
自	325111	33152
副	12512512125	33113
跟	2512121511534	32393
笑	3143143134	32256
則	251113422	32160
则	253425	32160
像	3235251353334	31874
較	1251112413434	30431
较	1521413434	30431
国	25112141	29996
國	25125115341	29996
死	135415	29983
省	534325111	29951
住	3241121	29609
萬	122251125214	29391
万	135	29391
因	251341	29186
曾	432524312511	29107
元	1135	28837
呢	25151315	28623
手	3112	28466
達	121431112454	28255
达	134454	28255
頭	1251431132511134	28177
头	44134	28177
作	3231211	28016
該	4111251415334	27977
该	45415334	27977
女	531	27951
开	1132	27900
開	251125111132	27900
路	2512121354251	27626
约	551354	27535
約	554444354	27535
軍	451251112	27200
军	451512	27200
稱	31234344325121	26275
称	3123435234	26275
名	354251	26255
二	11	26135
每	3155414	26048
属	513325125214	26010
屬	513544342522135251214	26010
誰	411125132411121	25842
谁	4532411121	25842
受	34434554	25796
帶	12213545252	25733
带	122245252	25733
进	1132454	25668
進	32411121454	25668
先	312135	25558
應	41332324111214544	25537
应	4134431	25537
吧	2515215	25526
縣	2511112343554234	25322
县	2511154	25322
心	4544	25236
占	21251	25139
佔	3221251	25139
處	21531535435	24967
处	35434	24967
區	12512512515	24952
区	1345	24952
太	1344	24899
点	212514444	24685
點	25431121444421251	24685
水	5534	24314
南	122543112	24296
張	51512111534	23973
张	5153154	23973
今	3415	23913
間	251125112511	23632
间	4252511	23632
总	432514544	23585
總	55444432533414544	23585
回	252511	23572
山	252	23539
請	411125111212511	23523
请	4511213511	23523
者	12132511	23521
黨	24345251254311214444	23403
党	2434525135	23403
段	321113554	23395
法	44112154	23361
連	1251112454	23315
连	1512454	23315
站	4143121251	23194
第	31431451523	23112
共	122134	22996
另	25153	22635
生	31121	22579
全	341121	22165
行	332115	22128
倒	3215412122	21994
快	4425134	21973
派	441333534	21853
啊	2515212512	21810
相	123425111	21292
嗎	2511211254444	21245
吗	251551	21245
经	55154121	21042
經	5544441555121	21042
按	151445531	21008
找	1511543	20856
口	251	20778
均	1213511	20776
种	312342512	20538
種	31234312511211	20538
字	445551	20380
入	34	20209
真	1225111134	19988
拿	3412513112	19956
城	121135543	19953
馬	2111254444	19918
马	551	19918
干	112	19811
幹	1225111234112	19811
王	1121	19704
據	1512153151353334	19409
据	15151312251	19409
四	25351	19090
子	551	19089
書	5111212511	18993
书	5524	18993
仍	3235	18627
難	1221251113432411121	18505
难	5432411121	18505
西	125351	18324
東	12511234	18279
东	15534	18279
少	5343	18155
次	413534	17947
些	21211511	17919
钱	3111511543	17871
錢	3411243115341534	17871
北	21135	17860
气	3115	17826
氣	3115431234	17826
近	3312454	17557
杀	341234	17552
殺	3412343554	17552
清	44111212511	17519
學	3211343451145521	17482
学	44345521	17482
强	515251251214	17342
強	51554251214	17342
寫	445321511354444	17024
写	45151	17024
既	511541535	17016
若	12213251	17000
往	33241121	16974
臺	12125145154121	16964
台	54251	16964
原	1332511534	16926
发	53544	16840
發	543345153554	16840
任	323121	16831
美	431121134	16809
未	11234	16803
楊	1234251113533	16649
杨	1234533	16649
兵	3212134	16574
非	21112111	16318
除	523411234	16316
邊	325111445344153454	16283
边	53454	16283
位	3241431	16243
鱼	35251211	16190
魚	35251214444	16190
明	25113511	16120
設	41112513554	16042
设	453554	16042
州	434242	15951
直	12251111	15928
定	44512134	15882
越	121213415534	15864
身	3251113	15789
重	312511211	15718
声	1215213	15713
聲	12152133554122111	15713
五	1251	15665
低	3235151	15504
坐	3434121	15447
兒	32151135	15411
儿	35	15411
極	123415251541	15314
极	1234354	15314
放	41533134	15161
金	34112431	15074
红	551121	14915
紅	554444121	14915
朝	122511123511	14885
爱	3443451354	14878
愛	3443454544354	14878
知	31134251	14870
主	41121	14838
您	32352344544	14737
報	121431125254	14647
报	1215254	14647
类	431534134	14536
類	4315341344132511134	14536
早	251112	14429
虽	251251214	14338
雖	25125121432411121	14338
面	132522111	14337
別	2513522	14132
别	2515322	14132
初	4523453	14072
性	42431121	13847
型	113225121	13750
講	41112511122125211	13587
讲	451132	13587
部	4143125152	13579
送	431134454	13539
远	1135454	13523
遠	1212513534454	13523
反	1354	13500
指	121152511	13375
乡	553	13348
鄉	55345115452	13348
方	4153	13166
甚	122111345	13115
常	24345251252	13042
完	4451135	13042
意	4143125114544	12995
队	5234	12982
隊	52431353334	12982
涓	4412512511	12958
式	112154	12938
左	13121	12823
拉	15141431	12817
花	1223235	12710
電	1452444425115	12701
电	25115	12701
锛	3111513412132	12605
錛	3411243113412132	12605
條	3223541234	12583
条	3541234	12583
劍	341251251343425	12553
剑	341443122	12553
神	452425112	12550
动	115453	12509
動	31251121153	12509
湖	444122513544	12466
河	44112512	12374
白	32511	12266
官	44525151	12197
师	231252	12194
師	3251511252	12194
僅	3212212511121	12193
仅	3254	12193
教	12135213134	12172
哪	251511352	12138
變	41112515544445544443134	12121
变	41223454	12121
圖	25251412525111	12112
图	25354441	12112
平	14312	12100
府	41332154	11760
熱	121351213544444	11755
热	1213544444	11755
制	31125225	11750
望	41535443121	11746
歲	2121131233543	11719
岁	252354	11719
紝	5544443121	11651
轉	125111212511214154	11622
转	15211154	11622
建	51111254	11608
命	34125152	11603
加	53251	11537
管	31431444525151	11444
場	121251113533	11435
场	121533	11435
跑	251212135515	11414
穿	445351523	11359
衆	325221323434	11353
众	343434	11353
么	354	11322
麼	41312341234554	11322
黑	254312114444	11296
怕	42432511	11213
風	351251214	11195
风	3534	11195
信	324111251	11188
置	2522112251111	11145
急	355114544	11126
石	13251	11067
黃	122112512134	11062
黄	12212512134	11062
镇	311151225111134	11036
鎮	341124311225111134	11036
取	12211154	10965
光	243135	10895
竟	41431251135	10875
力	53	10777
數	251125125313134	10689
数	4312345313134	10689
曰	2511	10675
亲	414311234	10670
親	4143112342511135	10670
传	321154	10664
傳	3212511214124	10664
深	44445351234	10646
臉	35113412512513434	10566
脸	35113414431	10566
買	252212511134	10529
买	544134	10529
接	15141431531	10515
茶	122341234	10497
且	25111	10470
辦	4143112534143112	10314
办	5344	10314
待	332121154	10253
文	4134	10253
提	121251112134	10223
系	3554534	10196
量	251112511211	10182
忙	424415	10154
盡	51121444425221	10117
尽	513444	10117
喝	251251135345	10053
郡	511325152	9988
車	1251112	9985
车	1512	9985
啦	25115141431	9891
刚	253425	9881
剛	2543125222	9881
背	211352511	9853
级	551354	9853
級	554444354	9853
离	4134522554	9736
離	413452255432411121	9736
故	122513134	9727
言	4111251	9691
海	4413155414	9676
體	2554525112512211251431	9670
体	3212341	9670
座	4133434121	9662
酒	4441253511	9653
通	5425112454	9628
滿	44112212523434	9603
满	4441221253434	9603
呀	2511553	9580
李	1234551	9566
令	34454	9565
飞	534	9563
飛	534335342	9563
流	444154325	9559
德	332122522114544	9549
足	2512134	9485
瞧	25111324111214444	9467
合	341251	9453
右	13251	9451
罢	2522112154	9424
罷	252215425113535	9424
亦	413534	9343
改	5153134	9286
刀	53	9271
破	1325153254	9250
龙	13534	9197
龍	4143125111515111	9197
需	14524434132522	9183
寬	44512225111354	9081
宽	4451222535	9081
必	45443	9063
病	4134412534	9053
隨	52131213541454	9036
随	52133511454	9036
須	333132511134	8997
须	333132534	8997
居	51312251	8992
呈	2511121	8976
漢	44112212511134	8921
汉	44154	8921
羣	5113251431112	8891
群	5113251431112	8891
算	31431425111132	8888
战	212511534	8864
戰	2512512511121543	8864
眼	25111511534	8863
安	445531	8837
靠	312125121112111	8829
藏	12213513125125534	8819
落	122441354251	8776
項	121132511134	8766
项	121132534	8766
首	431325111	8747
掌	243452513115	8714
街	332121121115	8680
铁	3111531134	8654
鐵	341124311212511121534	8654
物	31213533	8620
林	12341234	8581
土	121	8560
菜	12234431234	8544
現	11212511135	8541
现	11212535	8541
率	41554443412	8539
火	4334	8518
橋	1234313425125251	8499
桥	1234313432	8499
股	35443554	8493
象	35251353334	8475
古	12251	8464
跳	2512121344534	8462
某	122111234	8444
驚	1223525131341211254444	8417
惊	42441251534	8417
搞	1514125125251	8414
藥	122325115545541234	8404
药	122551354	8404
衝	332312511211112	8402
冲	412512	8402
雙	324111213241112154	8395
双	5454	8395
六	4134	8392
情	44211212511	8363
鄂	25125111552	8347
掉	12121251112	8344
立	41431	8334
乱	3122515	8329
亂	3443542554545	8329
周	35121251	8326
