# wubi86 dictionary (best code per character)
# format: char	code	freq
工	a	105
式	aa	1
菚	aaar	1
蘛	aade	1
藄	aadi	1
匿	aadk	1
慝	aadn	1
葚	aadn	1
茙	aadr	1
萁	aadw	1
苷	aaf	1
甙	aafd	1
蘜	aafo	1
芽	aah	1
菣	aahc	1
茝	aahh	1
藍	aahl	1
藖	aahm	1
虦	aahm	1
蕥	aahy	1
剗	aajh	1
戒	aak	1
蓳	aakg	1
蓲	aakk	1
盞	aalf	1
蘳	aamf	1
蘣	aamg	1
蒆	aamv	1
茿	aamy	1
苣	aan	1
葉	aans	1
苉	aaqb	1
蔕	aaqh	1
戔	aar	1
荛	aat	1
蘙	aatn	1
芅	aau	1
苆	aavb	1
匶	aawv	1
莁	aaww	1
节	ab	1
藂	abci	1
菆	abcu	1
荫	abe	1
蘟	aben	1
茸	abf	1
蔯	abgi	1
邛	abh	1
匩	abhg	1
蒸	abi	1
菡	abib	1
荪	abiu	1
藬	abkm	1
茁	abm	1
芤	abn	1
菰	abr	1
蕯	abtg	1
蓀	abti	1
萨	abu	1
薩	abug	1
蘵	abuj	1
匜	abv	1
蔭	abwc	1
蒢	abwt	1
芭	ac	1
茎	aca	1
匥	acak	1
芧	acbj	1
蓩	acbl	1
蓣	acbm	1
蕷	acbm	1
鶜	acbo	1
葇	acbs	1
茅	acbt	1
蔘	acce	1
蓪	acep	1
苔	ack	1
葈	acks	1
荾	acwt	1
芆	acyu	1
基	ad	1
莽	ada	1
蔵	adat	1
蕻	adaw	1
苊	adb	1
茇	adc	1
苃	adcu	1
弎	add	1
藞	addd	1
戎	ade	1
葫	adef	1
萇	adeu	1
苦	adf	1
莾	adfa	1
莀	adfe	1
蓐	adff	1
萘	adfi	1
荂	adfn	1
葳	adg	1
葴	adgt	1
荐	adh	1
葜	adhd	1
茬	adhf	1
蒧	adht	1
蘴	adhu	1
蔧	adhv	1
藉	adi	1
藕	adiy	1
菲	adj	1
匪	adjd	1
韮	adjg	1
菴	adjn	1
蕜	adjn	1
若	adk	1
鄀	adkb	1
蠚	adkj	1
匲	adkk	1
惹	adkn	1
逽	adkp	1
苈	adl	1
项	adm	1
荋	admj	1
蒇	admt	1
蕆	admt	1
項	admy	1
茂	adn	1
藏	adnt	1
荿	adnt	1
荙	adpu	1
蒝	adri	1
藶	adth	1
蕨	adu	1
蕼	advh	1
其	adw	1
戡	adwa	1
碁	adwd	1
期	adwe	1
朞	adwe	1
斟	adwf	1
卙	adwf	1
菶	adwh	1
綦	adwi	1
剘	adwj	1
蟴	adwj	1
勘	adwl	1
甚	adwn	1
惎	adwn	1
夦	adwq	1
斯	adwr	1
棊	adws	1
蓁	adwt	1
尠	adwt	1
匧	adww	1
莢	adww	1
諅	adwy	1
茏	adx	1
葢	adyl	1
荗	adyt	1
菜	ae	1
艿	aeb	1
菔	aebc	1
莩	aebf	1
萉	aecb	1
萾	aecl	1
薍	aecn	1
蕦	aedm	1
藐	aee	1
萠	aeef	1
蒯	aeej	1
萲	aefc	1
藸	aefj	1
苴	aeg	1
莇	aegl	1
苚	aej	1
﨟	aejn	1
莻	aekx	1
荕	aelb	1
蕣	aeph	1
薆	aept	1
蓫	aepu	1
葋	aeqk	1
蘨	aeri	1
散	aet	1
葄	aetf	1
蕤	aetg	1
蔿	aeto	1
藤	aeu	1
虅	aeuc	1
蕂	aeul	1
荽	aev	1
蒵	aexd	1
芨	aey	1
革	af	1
鞯	afa	1
韄	afac	1
鞴	afae	1
鞾	afaf	1
韊	afai	1
鞳	afak	1
蕡	afam	1
靾	afan	1
韉	afao	1
鞢	afas	1
韈	afat	1
邯	afb	1
靶	afc	1
蓋	afcl	1
鞣	afcs	1
芸	afcu	1
芰	afcu	1
靫	afcy	1
甘	afd	1
薷	afdj	1
鞑	afdp	1
蘎	afec	1
鞵	afed	1
靻	afeg	1
鞖	afev	1
靸	afey	1
芏	aff	1
蕓	affc	1
鞋	afff	1
鞲	afff	1
茥	afff	1
靯	affg	1
靬	affh	1
鞊	affk	1
韇	affm	1
韃	affp	1
蕘	affq	1
韁	afgg	1
鞕	afgq	1
靺	afgs	1
鞆	afgw	1
鞁	afhc	1
鞐	afhh	1
蒖	afhw	1
蒜	afi	1
鞘	afie	1
鞺	afif	1
鞜	afij	1
鞝	afik	1
鞉	afiq	1
苿	afiu	1
莍	afiy	1
鞸	afjf	1
靼	afjg	1
鞮	afjh	1
鞰	afjl	1
鞨	afjn	1
韅	afjo	1
薣	afkc	1
鞙	afke	1
薹	afkf	1
鞓	afkg	1
虂	afkk	1
鞼	afkm	1
薳	afkp	1
鞻	afkv	1
勒	afl	1
鞇	afld	1
蕾	aflf	1
藚	aflm	1
贰	afm	1
鞅	afmd	1
萳	afmf	1
貳	afmi	1
靹	afmw	1
苇	afn	1
芌	afnb	1
薵	afnf	1
靵	afnf	1
鞍	afp	1
鞚	afpa	1
荸	afpb	1
葧	afpl	1
鞠	afq	1
芜	afqb	1
芫	afqb	1
鞄	afqn	1
鞔	afqq	1
荺	afqu	1
莰	afqw	1
鞫	afqy	1
靮	afqy	1
韂	afqy	1
靳	afr	1
鞞	afrf	1
鞡	afru	1
某	afs	1
靪	afsh	1
韆	afsp	1
著	aft	1
甛	aftd	1
蓍	aftj	1
鞽	aftk	1
鞦	afto	1
荖	aftx	1
鞂	afty	1
蔷	afu	1
蕔	afuc	1
靽	afuf	1
鞧	afug	1
鞛	afuk	1
薘	afup	1
蓻	afuy	1
鞎	afve	1
鞀	afvk	1
鞬	afvp	1
靱	afvy	1
鞭	afw	1
鞥	afwa	1
藝	afwc	1
薔	afwk	1
鞈	afwk	1
靲	afwn	1
爇	afwo	1
菱	afwt	1
芙	afwu	1
靴	afwx	1
藿	afwy	1
蓺	afwy	1
鞃	afxc	1
靷	afxh	1
靿	afxl	1
鞿	afxt	1
鞟	afyb	1
蘾	afye	1
韀	afyo	1
七	ag	1
荆	aga	1
華	agaf	1
荊	agaj	1
鷨	agao	1
邼	agbh	1
萅	agbj	1
芚	agbn	1
荎	agcf	1
菿	agcj	1
匡	agd	1
菾	agdn	1
莆	age	1
菁	agef	1
蒪	agef	1
芋	agf	1
廿	agh	1
	aghg	1
艹	aghh	1
卄	aghh	1
蔫	agho	1
芐	aghu	1
苤	agi	1
芣	agiu	1
蕙	agj	1
蓴	agjf	1
荁	agjg	1
菄	agji	1
莄	agjq	1
蔌	agk	1
菫	agkg	1
蒚	agkh	1
蘁	agkk	1
葍	agkl	1
藾	agkm	1
虉	agko	1
藗	agkp	1
荳	agku	1
薑	aglg	1
萰	agli	1
劻	agln	1
芾	agm	1
茦	agmi	1
莿	agmj	1
颟	agmm	1
蓛	agmt	1
蔶	agmu	1
黃	agmw	1
巧	agnn	1
瓨	agnn	1
戈	agnt	1
弋	agny	1
莱	ago	1
葬	agq	1
薞	agqe	1
塟	agqf	1
薤	agqg	1
茢	agqj	1
薚	agqr	1
蔜	agqt	1
茉	ags	1
廾	agt	1
苹	agu	1
荚	aguw	1
萋	agv	1
莖	agva	1
萐	agvh	1
葘	agvl	1
葝	agvl	1
蕐	agwh	1
薾	agwq	1
荑	agx	1
匤	agyi	1
牙	ah	1
蘧	aha	1
蔖	ahag	1
萛	ahaj	1
蘆	ahal	1
萀	aham	1
藘	ahan	1
繤	ahdi	1
薉	ahdt	1
芷	ahf	1
蕋	ahhh	1
煕	ahho	1
蘃	ahhs	1
匷	ahhy	1
菽	ahi	1
蘋	ahim	1
荹	ahir	1
茮	ahiu	1
苫	ahk	1
颐	ahkm	1
赜	ahkm	1
頤	ahkm	1
巸	ahkn	1
熙	ahko	1
媐	ahkv	1
蓾	ahlo	1
臣	ahn	1
孯	ahnb	1
臤	ahnc	1
硻	ahnd	1
腎	ahne	1
堅	ahnf	1
朢	ahng	1
卧	ahnh	1
緊	ahni	1
蜸	ahnj	1
臨	ahnk	1
監	ahnl	1
鹽	ahnl	1
賢	ahnm	1
贒	ahnm	1
頣	ahnm	1
薡	ahnn	1
覧	ahnq	1
鋻	ahnq	1
鍳	ahnq	1
鑒	ahnq	1
掔	ahnr	1
擥	ahnr	1
竪	ahnu	1
婜	ahnv	1
臥	ahnw	1
譼	ahny	1
蔝	ahou	1
莧	ahqb	1
薒	ahqo	1
萈	ahqy	1
邪	ahtb	1
鸦	ahtg	1
鴉	ahto	1
迓	ahtp	1
雅	ahty	1
茈	ahx	1
东	ai	1
茳	aia	1
蘫	aial	1
菃	aian	1
蕖	aias	1
葓	aiaw	1
范	aib	1
菭	aick	1
菹	aie	1
莦	aief	1
萷	aiej	1
蔆	aift	1
薄	aig	1
蔳	aige	1
萍	aigh	1
蒲	aigy	1
菠	aih	1
蔢	aihv	1
蕰	aijl	1
蕩	aijr	1
蕅	aijy	1
藻	aik	1
薀	aill	1
莈	aimc	1
荡	ain	1
莐	aipq	1
鸫	aiq	1
茪	aiqb	1
萢	aiqn	1
蒎	air	1
萡	airf	1
菏	ais	1
薸	aisi	1
藫	aisj	1
莯	aisu	1
落	ait	1
萿	aitd	1
藩	aitl	1
汞	aiu	1
蓱	aiua	1
蓡	aivc	1
葏	aivh	1
菬	aivk	1
蒅	aivs	1
薻	aivs	1
虃	aiwg	1
蕍	aiwj	1
蒤	aiwt	1
蒞	aiwu	1
匯	aiwy	1
茫	aiy	1
蒗	aiye	1
薃	aiyk	1
蓅	aiyq	1
划	aj	1
蓽	ajaf	1
蕞	ajb	1
莫	ajd	1
鄚	ajdb	1
蓦	ajdc	1
驀	ajdc	1
墓	ajdf	1
幕	ajdh	1
暮	ajdj	1
蟇	ajdj	1
募	ajdl	1
慕	ajdn	1
摹	ajdr	1
謩	ajdy	1
萌	aje	1
昔	ajf	1
荲	ajff	1
莳	ajfu	1
皵	ajhc	1
萺	ajhf	1
草	ajj	1
菖	ajjf	1
剒	ajjh	1
蕌	ajjj	1
蔓	ajl	1
躉	ajmh	1
蠆	ajmj	1
勱	ajml	1
邁	ajmp	1
萬	ajmy	1
逪	ajpd	1
葛	ajq	1
鹊	ajqg	1
茰	ajqu	1
斮	ajrh	1
菒	ajsu	1
菓	ajsu	1
蓝	ajt	1
葃	ajtf	1
虄	ajtg	1
茧	aju	1
郾	ajv	1
匽	ajvd	1
鶠	ajvo	1
鵲	ajwo	1
或	ak	1
葺	akb	1
蕺	akbt	1
叵	akd	1
艱	akfe	1
菋	akfi	1
囏	akfk	1
戁	akfn	1
歎	akfw	1
臡	akfw	1
難	akfy	1
鄞	akgb	1
茣	akgd	1
彧	akge	1
勤	akgl	1
惑	akgn	1
懃	akgn	1
觐	akgq	1
覲	akgq	1
斳	akgr	1
藪	akgt	1
蔞	akgv	1
歏	akgw	1
匮	akh	1
蕗	akhk	1
蕢	akhm	1
莡	akhu	1
颧	akk	1
鄿	akkb	1
酄	akkb	1
敺	akkc	1
莒	akkf	1
匰	akkf	1
鹳	akkg	1
剾	akkj	1
飌	akkj	1
虈	akkk	1
勸	akkl	1
顴	akkm	1
萼	akkn	1
甌	akkn	1
蕚	akkn	1
鷗	akko	1
鸛	akko	1
觀	akkq	1
蘄	akkr	1
歐	akkw	1
歡	akkw	1
雚	akky	1
莂	aklj	1
莴	akm	1
蒷	akmu	1
荶	akwn	1
蓶	akwy	1
功	al	1
蔮	alag	1
艻	alb	1
蘻	albi	1
藣	alcx	1
茵	ald	1
蘮	aldj	1
蒽	aldn	1
蔑	aldt	1
苗	alf	1
薗	alfe	1
薯	alfj	1
蓒	alfj	1
巭	alfw	1
葨	alge	1
