# wubi char dictionary (converted from rime)
# format: char	code	freq
工	a	547110588
式	aa	425971764
㠭	aaaa	6116
㐂	aaab	7397
菚	aaau	28298
匿	aad	5898070
匞	aad	23234
䘌	aadj	4110
慝	aadn	214475
茙	aadr	27603
蘜	aafo	28696
䒰	aagf	4359
芽	aah	29391058
䓉	aahb	3723
菣	aahc	24029
茞	aahh	79931
茝	aahh	51831
藍	aahl	59576470
藖	aahm	24624
虦	aahw	17475
蕥	aahy	228376
剗	aajh	38228
戒	aak	34256470
蓳	aakg	57888
蓲	aakk	45178
䕚	aakm	4210
䕿	aako	4071
䖄	aako	3713
䕼	aaky	3703
盞	aalf	3058258
蘳	aamf	20653
蘣	aamg	22936
䔈	aamu	4488
苣	aan	1975952
葉	aans	59477176
苉	aaqb	13702
蔕	aaqh	118160
荛	aat	141990
蘙	aatn	35448
藏	aau	144969411
戔	aau	529237
苆	aavr	364409
匶	aawe	41802
荗	aawu	48455
蒆	aawv	26511
莁	aaww	76853
茿	aawy	36143
芅	aayu	37930
节	ab	457745882
藂	abci	38625
萾	abcl	32667
菆	abcu	31972
䔺	abde	4299
荫	abe	11915294
蘟	aben	54313
㲨	aben	4994
茸	abf	5937788
芓	abf	199581
䔖	abft	4210
邛	abh	1499341
卭	abh	25617
匩	abhg	24922
蒸	abi	25220705
菡	abib	1439764
䒱	abig	4339
䕄	abil	9373
荪	abiu	685129
䓧	abkg	3445
藬	abkm	22241
莻	abkx	24525
䓝	ablf	3594
茁	abm	953223
䔴	abmc	4567
䔜	abmf	3852
芤	abn	193623
艿	abr	837049
㧭	abrj	3812
菰	abry	1241176
蔯	absj	92939
蕯	abtg	52030
蓀	abti	315755
䕖	abtp	8310
萨	abu	68612235
䔹	abue	4805
薩	abug	9899623
䔒	abuk	5113
匜	abv	143976
蔭	abwc	3515011
䕃	abwd	7576
蒢	abws	145962
芨	aby	883717
蘵	abyj	25320
芭	ac	27504470
茎	aca	6543482
䒪	acaj	4180
匥	acak	26809
蔘	acce	1747576
蓪	acep	59377
㦯	acgd	3703
苔	ack	6096658
䕂	ackp	5421
葈	acks	23532
䓿	aclf	4795
茅	acn	21050352
蓩	acne	25816
芧	acnh	72286
蓣	acnm	54016
蕷	acnm	36242
鶜	acno	20653
葇	acns	73378
䓮	acnt	3415
䔍	acou	4428
荾	acwt	39519
芆	acyu	22142
苦	ad	118160000
莽	ada	2819952
䒎	adac	4051
蔵	adah	18667294
蕻	adaw	161849
苊	adb	115181
茇	adc	135040
苃	adcu	164828
藞	addd	25816
䔸	addd	4488
戎	ade	7933600
葫	adef	1181600
䒴	adef	4100
苈	ader	285967
萇	adeu	1092235
莾	adfa	32568
莀	adfe	42597
䔚	adfe	3892
蓐	adff	209510
萘	adfi	2899388
荂	adfn	210503
葳	adg	2124894
葴	adgk	37433
䓐	adgn	4011
荐	adh	30384000
葜	adhd	157877
茬	adhf	4537741
苤	adhg	1509270
䒠	adhj	5163
蒧	adhk	39618
䓏	adhk	3693
芣	adhu	206531
蔧	adhv	24128
菴	adjn	1002870
蘷	adjt	25320
若	adk	241284705
鄀	adkb	71094
蠚	adkj	20653
匲	adkk	21844
䖃	adkk	3743
惹	adkn	62853176
逽	adkp	26511
项	adm	490512941
䓴	admd	3673
荋	admj	73080
蒇	admu	86485
蕆	admu	38724
項	admy	105251764
荿	adnb	151920
荙	adpu	65931
蒝	adri	173764
䔪	adrr	4150
䓫	adsk	3683
䓓	adtf	3822
藶	adth	40114
茂	adu	46469647
芖	adu	124117
䕢	adua	3862
蕨	aduw	4071058
蕼	advg	69208
蓁	adw	2085176
蘛	adwe	29788
菶	adwg	38228
藄	adwi	28497
萶	adwj	36838
葚	adwn	284974
㥦	adwn	4666
䔮	adwr	4706
萁	adwu	839035
莢	adww	566969
匧	adww	23929
㰼	adww	6285
茏	adx	319727
弎	adyi	216461
葢	adyl	61562
功	ae	85194352
芼	aeb	233341
莩	aeb	180715
菔	aebc	376324
萉	aecb	37632
薍	aecn	339585
蕦	aedm	34554
荔	aee	4835623
萠	aeef	307811
蓞	aeef	21447
蒯	aeej	767543
荕	aeer	33462
苴	aeg	755628
萲	aegc	55008
莇	aege	86882
巭	aegu	27901
藇	aegw	28398
蓃	aehc	21646
苚	aej	228376
薶	aejf	31376
﨟	aejn	30979
茄	aek	10326588
虋	aemv	22043
䕟	aemw	3663
蕣	aepg	115181
薆	aept	487534
萖	aeqb	23036
葋	aeqk	23334
蕮	aeqo	18965
藐	aer	3137694
艻	aer	29490
菜	aes	121138823
䔕	aesu	4130
㣉	aet	4160
䔄	aetb	5212
葄	aetf	27901
蘨	aeti	27405
蔿	aeto	72981
散	aety	95322352
藤	aeu	46469647
蕂	aeue	30185
䕨	aeui	3743
虅	aeuo	32866
荽	aev	1082305
苏	aew	130075294
㔱	aewi	10525
萸	aewu	1042588
蒵	aexd	21447
革	af	27107294
鞯	afa	557040
䩸	afab	3683
韄	afac	11716
鞴	afae	314762
鞲	afaf	222418
䪇	afaf	3445
鞾	afag	32667
鞳	afak	111209
䩽	afak	3217
韊	afal	22539
蕡	afam	111209
靾	afan	82414
韉	afao	49249
鞢	afas	46370
韈	afaw	100287
䪄	afaw	3793
䕙	afay	4279
䩯	afbg	3644
䩶	afbj	4289
鞁	afby	158870
靸	afby	107237
靶	afc	4498023
蓋	afcl	30880470
䩻	afco	3346
鞣	afcs	1221317
芸	afcu	14993411
芰	afcu	907548
䒧	afcu	3961
靫	afcy	53519
鞑	afd	989962
䩴	afde	3723
䩨	afde	3544
䩬	afdg	3763
薷	afdj	136032
䩭	afdk	3515
䩡	afdw	4200
勒	afe	56200470
蘎	afec	20752
鞵	afed	32667
鞱	afee	20057
靻	afeg	66824
䩗	afeg	3703
鞖	afev	100287
苷	aff	2621364
芏	aff	260150
蕓	affc	556047
鞋	afff	124117647
葑	afff	797331
茥	afff	23731
靯	affg	23929
靬	affh	49051
鞊	affk	412070
韇	affm	36838
䩿	affm	3743
韃	affp	190644
蕘	affq	55505
䓁	affu	5649
䕀	affw	5153
䩒	afgf	4537
韁	afgg	257171
䩹	afgh	3872
靰	afgq	49845
