# wubi char dictionary (converted from rime)
# format: char	code	freq
工	a	99454797
戒	aa	1
㠭	aaaa	1
㐂	aaab	1
菚	aaau	1
匿	aad	1
匞	aad	1
蘛	aade	1
藄	aadi	1
䘌	aadj	1
葚	aadn	1
慝	aadn	1
茙	aadr	1
䔮	aadr	1
萁	aadw	1
苷	aaf	1
䒰	aagf	1
芽	aah	1
䓉	aahb	1
菣	aahc	1
茞	aahh	1
茝	aahh	1
藍	aahl	1
藖	aahm	1
虦	aahw	1
蕥	aahy	1
剗	aajh	1
蓳	aakg	1
蓲	aakk	1
䕚	aakm	1
蘜	aako	1
䕿	aako	1
䖄	aako	1
䕼	aaky	1
盞	aalf	1
蘳	aamf	1
蘣	aamg	1
䔈	aamu	1
苣	aan	1
葉	aans	1
苉	aaqb	1
蔕	aaqh	1
荛	aat	1
蘙	aatn	1
戔	aau	1
苆	aavr	1
匶	aawe	1
蒆	aawv	1
莁	aaww	1
茿	aawy	1
芅	aayu	1
节	ab	1
藂	abci	1
萾	abcl	1
菆	abcu	1
䔺	abde	1
荫	abe	1
蘟	aben	1
茸	abf	1
芓	abf	1
䔖	abft	1
蔯	abgi	1
邛	abh	1
卭	abh	1
匩	abhg	1
蒸	abi	1
菡	abib	1
䒱	abig	1
䕄	abil	1
荪	abiu	1
䓧	abkg	1
藬	abkm	1
莻	abkx	1
䓝	ablf	1
茁	abm	1
䔴	abmc	1
䔜	abmf	1
芤	abn	1
艿	abr	1
㧭	abrj	1
菰	abry	1
蕯	abtg	1
蓀	abti	1
㲨	abtn	1
䕖	abtp	1
萨	abu	1
䔹	abue	1
薩	abug	1
䔒	abuk	1
蘵	abuy	1
匜	abv	1
蔭	abwc	1
䕃	abwc	1
蒢	abws	1
芨	aby	1
芭	ac	1
茎	aca	1
䒪	acaj	1
匥	acak	1
蔘	acce	1
蓪	acep	1
㦯	acgd	1
苔	ack	1
䕂	ackp	1
葈	acks	1
䓿	aclf	1
茅	acn	1
蓩	acne	1
芧	acnh	1
蓣	acnm	1
蕷	acnm	1
鶜	acno	1
葇	acns	1
䓮	acnt	1
䔍	acou	1
荾	acwt	1
芆	acyu	1
其	ad	1
蔵	aday	1
苊	adb	1
蕻	adc	1
蕼	adcg	1
苃	adcu	1
茇	adcy	1
藞	addd	1
戎	ade	1
葫	adef	1
䒴	adef	1
苈	ader	1
萇	adeu	1
苦	adf	1
莾	adfa	1
莀	adfe	1
䔚	adfe	1
蓐	adff	1
萘	adfi	1
荂	adfn	1
葳	adg	1
䓐	adgn	1
葴	adgy	1
荐	adh	1
葜	adhd	1
茬	adhf	1
苤	adhg	1
䒠	adhj	1
䓏	adhk	1
芣	adhu	1
蔧	adhv	1
蒧	adhy	1
藉	adi	1
䒹	adiu	1
藕	adiy	1
菴	adjn	1
若	adk	1
鄀	adkb	1
蠚	adkj	1
匲	adkk	1
䖃	adkk	1
惹	adkn	1
逽	adkp	1
项	adm	1
䓴	admd	1
荋	admj	1
蒇	admy	1
項	admy	1
蕆	admy	1
藏	adn	1
荿	adny	1
荙	adpu	1
蒝	adri	1
䔪	adrr	1
䓫	adsk	1
䓓	adtf	1
藶	adth	1
芖	adu	1
蕨	adu	1
䕢	adua	1
基	adw	1
戡	adwa	1
㪛	adwc	1
碁	adwd	1
期	adwe	1
勘	adwe	1
朞	adwe	1
斟	adwf	1
卙	adwf	1
㪸	adwf	1
菶	adwg	1
綦	adwi	1
蟴	adwj	1
蜝	adwj	1
萶	adwj	1
剘	adwj	1
㫷	adwj	1
䫏	adwm	1
䫖	adwm	1
甚	adwn	1
惎	adwn	1
㐞	adwn	1
㥦	adwn	1
䳢	adwo	1
夦	adwq	1
㽎	adwq	1
斯	adwr	1
棊	adws	1
蓁	adwt	1
尠	adwt	1
欺	adww	1
莢	adww	1
歁	adww	1
匧	adww	1
㰼	adww	1
諅	adwy	1
㽄	adwy	1
茂	adx	1
茏	adxy	1
莽	ady	1
䒎	adyc	1
弎	adyi	1
葢	adyl	1
荗	adyy	1
䔸	adyy	1
功	ae	1
莩	aeb	1
菔	aebc	1
萉	aecb	1
薍	aecn	1
蕦	aedm	1
荔	aee	1
蓞	aeef	1
萠	aeef	1
蒯	aeej	1
荕	aeer	1
巭	aefw	1
苴	aeg	1
萲	aegc	1
莇	aege	1
藇	aegw	1
䔕	aegy	1
蓃	aehc	1
苚	aehj	1
薶	aejf	1
﨟	aejn	1
茄	aek	1
虋	aemv	1
䕟	aemw	1
蕣	aeph	1
薆	aept	1
萖	aeqb	1
葋	aeqk	1
蕮	aeqo	1
藐	aer	1
艻	aer	1
蘨	aeri	1
䔄	aerm	1
菜	aes	1
散	aet	1
㣉	aet	1
葄	aetf	1
蔿	aeto	1
藤	aeu	1
蕂	aeue	1
䕨	aeui	1
虅	aeuo	1
荽	aev	1
苏	aew	1
㔱	aewi	1
萸	aewu	1
蒵	aexd	1
著	af	1
蕡	afam	1
邯	afb	1
芸	afc	1
蓋	afcl	1
芰	afcu	1
䒧	afcu	1
甘	afd	1
薷	afdj	1
蘎	afec	1
芏	aff	1
蕓	affc	1
葑	afff	1
茥	afff	1
蕘	affq	1
䓁	affu	1
䕀	affw	1
㽍	afgy	1
蒖	afhw	1
蒜	afi	1
苿	afiu	1
䒬	afiu	1
芉	afj	1
䗣	afjj	1
薹	afk	1
薣	afkc	1
䓀	afkf	1
虂	afkk	1
蘦	afkk	1
䕒	afkk	1
䕵	afko	1
薳	afkp	1
䖅	afkw	1
蕾	afl	1
藚	aflm	1
匵	aflm	1
萳	afmf	1
苇	afn	1
芌	afnb	1
薵	afnf	1
䓌	afnu	1
䕋	afok	1
䓇	afou	1
荸	afp	1
葧	afpe	1
䑓	afpf	1
芜	afq	1
芫	afqb	1
䓕	afqp	1
荺	afqu	1
莰	afqw	1
某	afs	1
㽑	afsf	1
蓍	aft	1
䓔	aftb	1
甛	aftd	1
荖	aftx	1
蔷	afu	1
蕔	afuc	1
㽐	afuo	1
䕮	afuo	1
薘	afup	1
蓻	afuy	1
芙	afw	1
藝	afwc	1
蕶	afwc	1
薔	afwk	1
爇	afwo	1
䕭	afwo	1
䲺	afwo	1
菱	afwt	1
藿	afwy	1
蓺	afwy	1
䕙	afwy	1
蘾	afye	1
弍	afyi	1
七	ag	1
荆	aga	1
華	agaf	1
荊	agaj	1
茾	agaj	1
鷨	agao	1
邼	agbh	1
萅	agbj	1
芚	agbn	1
荎	agcf	1
㦶	agcf	1
菿	agcj	1
匡	agd	1
菾	agdn	1
莆	age	1
菁	agef	1
蒪	agef	1
蕤	ageg	1
藸	agej	1
蓫	agep	1
劻	aget	1
芋	agf	1
䔷	aggn	1
廿	agh	1
	aghg	1
卄	aghh	1
蔫	agho	1
芐	aghu	1
莍	agiy	1
蕙	agj	1
蓴	agjf	1
荁	agjg	1
菄	agji	1
莄	agjr	1
蔌	agk	1
䓊	agkf	1
菫	agkg	1
蒚	agkh	1
䓶	agkj	1
蘁	agkk	1
葍	agkl	1
藾	agkm	1
䕱	agkm	1
虉	agko	1
藗	agkp	1
䔎	agkp	1
䔩	agkt	1
荳	agku	1
薑	aglg	1
萰	agli	1
芾	agm	1
䒥	agmh	1
蕀	agmi	1
茦	agmi	1
蓸	agmj	1
莿	agmj	1
颟	agmm	1
蓛	agmt	1
蔶	agmu	1
黃	agmw	1
苪	agmw	1
㔷	agmw	1
䕻	agmx	1
䓣	agmy	1
匸	agn	1
䒓	agnb	1
巧	agnn	1
㤍	agnn	1
䲾	agno	1
㚽	agnv	1
戈	agny	1
瓨	agny	1
䛒	agny	1
莱	ago	1
葬	agq	1
薞	agqe	1
塟	agqf	1
薤	agqg	1
茢	agqj	1
薚	agqr	1
蔜	agqt	1
茉	ags	1
苹	agu	1
䔊	agua	1
荚	agud	1
萋	agv	1
莖	agva	1
葝	agve	1
萐	agvh	1
葘	agvl	1
蕐	agwg	1
薾	agwr	1
荑	agx	1
䓯	agxu	1
弌	agyi	1
匤	agyi	1
牙	ah	1
蘧	aha	1
蔖	ahag	1
萛	ahaj	1
蘆	ahal	1
藘	ahan	1
萀	ahaw	1
菲	ahd	1
匪	ahdd	1
韮	ahdg	1
繤	ahdi	1
㔈	ahdj	1
蕜	ahdn	1
䕁	ahds	1
薉	ahdy	1
芷	ahf	1
苜	ahf	1
䒙	ahf	1
菽	ahg	1
茮	ahgi	1
䕎	ahgl	1
蕋	ahhh	1
蘋	ahhm	1
煕	ahho	1
荹	ahhr	1
蘃	ahhs	1
匷	ahhy	1
䓬	ahjf	1
熙	ahk	1
㐄	ahk	1
苫	ahkf	1
颐	ahkm	1
赜	ahkm	1
頤	ahkm	1
賾	ahkm	1
巸	ahkn	1
媐	ahkv	1
㼢	ahky	1
蓾	ahlo	1
卧	ahn	1
臣	ahn	1
孯	ahnb	1
䢻	ahnb	1
臤	ahnc	1
硻	ahnd	1
腎	ahne	1
䭆	ahne	1
堅	ahnf	1
朢	ahng	1
㹂	ahng	1
䁂	ahnh	1
緊	ahni	1
䑐	ahni	1
䵖	ahni	1
蜸	ahnj	1
㔋	ahnj	1
臨	ahnk	1
鹽	ahnl	1
監	ahnl	1
盬	ahnl	1
賢	ahnm	1
頣	ahnm	1
贒	ahnm	1
薡	ahnn	1
苢	ahnn	1
㲯	ahnn	1
㷂	ahno	1
鑒	ahnq	1
覽	ahnq	1
鍳	ahnq	1
鋻	ahnq	1
覧	ahnq	1
擥	ahnr	1
掔	ahnr	1
㯺	ahns	1
豎	ahnu	1
竪	ahnu	1
䜿	ahnu	1
䝂	ahnu	1
婜	ahnv	1
臥	ahnw	1
䑑	ahnw	1
䖙	ahnw	1
譼	ahny	1
㻨	ahny	1
㽉	ahny	1
䛗	ahny	1
蔝	ahou	1
莧	ahqb	1
薒	ahqo	1
萈	ahqy	1
雅	aht	1
邪	ahtb	1
㸧	ahte	1
鸦	ahtg	1
䪵	ahtm	1
鴉	ahto	1
迓	ahtp	1
藈	ahwd	1
茈	ahx	1
䔝	ahxi	1
䓱	ahxs	1
㸦	ahyi	1
东	ai	1
蕖	aia	1
䔐	aiaa	1
茳	aiaf	1
蘫	aial	1
菃	aian	1
葓	aiaw	1
范	aib	1
菭	aick	1
菹	aie	1
莦	aief	1
萷	aiej	1
蔆	aift	1
薄	aig	1
䓑	aiga	1
蔳	aige	1
萍	aigf	1
茪	aigq	1
蒲	aigy	1
菠	aih	1
蔋	aihc	1
蔢	aihv	1
莎	aii	1
䓾	aiiv	1
䕕	aijc	1
䓠	aijf	1
蘯	aijl	1
蕰	aijl	1
䔽	aijn	1
蕩	aijr	1
蕅	aijy	1
藻	aik	1
薀	ail	1
䕪	ailf	1
荡	ain	1
莐	aipq	1
鸫	aiq	1
䓋	aiqa	1
萢	aiqn	1
䓜	aiqy	1
蒎	air	1
萡	airf	1
䓅	airj	1
菏	ais	1
藫	aisf	1
薸	aisi	1
莯	aisu	1
落	ait	1
萿	aitd	1
藩	aitl	1
䒚	aitr	1
䓷	aits	1
汞	aiu	1
䒕	aiu	1
蓱	aiua	1
薓	aivc	1
蓡	aivc	1
葏	aivg	1
菬	aivk	1
薻	aivs	1
蒅	aivs	1
莈	aiwc	1
蕍	aiwj	1
蒤	aiws	1
蒞	aiwu	1
匯	aiwy	1
虃	aiwy	1
茫	aiy	1
蒗	aiye	1
薃	aiyk	1
蓅	aiyk	1
划	aj	1
蓽	ajaf	1
蕞	ajb	1
莫	ajd	1
鄚	ajdb	1
募	ajde	1
墓	ajdf	1
