# wubi phrase dictionary
# format: phrase	code	freq
御前	TRUE	1
恭恭敬敬	aaaa	1
花花草草	aaaa	1
工期	aaad	1
黄花菜	aaae	1
某某某	aaaf	1
工巧	aaag	1
葡萄牙	aaah	1
工勤	aaak	1
花花世界	aaal	1
工艺	aaan	1
工区	aaaq	1
工匠	aaar	1
工薪	aaau	1
斯蒂芬	aaaw	1
茉莉花	aaaw	1
劳苦功高	aaay	1
式子	aabb	1
草草了事	aabg	1
芙蓉出水	aabi	1
区医院	aabp	1
茕茕孑立	aabu	1
戒除	aabw	1
工友	aadc	1
工大	aadd	1
工厂	aadg	1
落荒而逃	aadi	1
花花太岁	aadm	1
落花有意	aadu	1
落落大方	aady	1
花花肠子	aaeb	1
勤工助学	aaei	1
节节胜利	aaet	1
萧敬腾	aaeu	1
工地	aafb	1
工运	aafc	1
蓬蓬勃勃	aaff	1
葡萄干	aafg	1
苏东坡	aafh	1
工场	aafn	1
攻其无备	aaft	1
工夫	aafw	1
落花无言	aafy	1
甘苦与共	aaga	1
工于	aagf	1
工工整整	aagg	1
攻其一点	aagh	1
工整	aagk	1
戒严	aago	1
勤劳致富	aagp	1
攻其不备	aagt	1
恭敬不如从命	aagw	1
戒毒	aagx	1
七七事变	aagy	1
工卡	aahh	1
工频	aahi	1
工具	aahw	1
莘莘学子	aaib	1
卧薪尝胆	aaie	1
工潮	aaif	1
区区小事	aaig	1
落花流水	aaii	1
工党	aaip	1
葡萄酒	aais	1
戒酒	aais	1
牙牙学语	aaiy	1
工时	aajf	1
蒸蒸日上	aajh	1
工日	aajj	1
工蜂	aajt	1
工蚁	aajy	1
工艺品	aakk	1
工力	aalt	1
工贼	aama	1
黄花岗	aamm	1
戒网	aamq	1
节节败退	aamv	1
戒惧	aanh	1
草草收兵	aanr	1
戒心	aany	1
工业	aaog	1
戒烟	aaol	1
工料	aaou	1
葡萄糖	aaoy	1
工农	aape	1
敬若神明	aapj	1
菠萝蜜	aapn	1
切切实实	aapp	1
落落寡合	aapw	1
戒色	aaqc	1
茫茫然	aaqd	1
工钱	aaqg	1
匿名	aaqk	1
工贸	aaqy	1
葫芦岛	aaqy	1
工兵	aarg	1
戒掉	aarh	1
芭蕾舞	aarl	1
工控	aarp	1
熙熙攘攘	aarr	1
芽接	aaru	1
戒指	aarx	1
工模	aasa	1
工棚	aase	1
工本	aasg	1
花草树木	aass	1
式样	aasu	1
工长	aata	1
工行	aatf	1
警匪片	aath	1
蓬荜生辉	aati	1
工程	aatk	1
戒备	aatl	1
式微	aatm	1
戒条	aats	1
工笔	aatt	1
莫斯科	aatu	1
工科	aatu	1
戒律	aatv	1
切切私语	aaty	1
工头	aaud	1
工装	aauf	1
工单	aauj	1
工部	aauk	1
工商	aaum	1
工资	aauq	1
欺世盗名	aauq	1
黄花闺女	aauv	1
葫芦娃	aavf	1
戒刀	aavn	1
勤勤恳恳	aavv	1
花花公子	aawb	1
工段	aawd	1
工会	aawf	1
勤工俭学	aawi	1
劳燕分飞	aawn	1
工件	aawr	1
欧共体	aaws	1
工作	aawt	1
茹苦含辛	aawu	1
工分	aawv	1
工人	aaww	1
蒙蒙细雨	aaxf	1
警戒线	aaxg	1
医药费	aaxj	1
工细	aaxl	1
花花绿绿	aaxx	1
工序	aayc	1
东莞市	aaym	1
工房	aayn	1
匿迹	aayo	1
花落谁家	aayp	1
工薪族	aayt	1
斯斯文文	aayy	1
节节	abab	1
萨斯	abad	1
若隐若现	abag	1
菡萏	abaq	1
荫蔽	abau	1
节能	abce	1
英联邦	abdt	1
节奏	abdw	1
节用	abet	1
蒸腾	abeu	1
节支	abfc	1
蒸煮	abft	1
节下	abgh	1
节烈	abgq	1
节目	abhh	1
节点	abhk	1
萨满	abia	1
节水	abii	1
节油	abim	1
蒸汽	abir	1
节省	abit	1
节流	abiy	1
节日	abjj	1
节电	abjn	1
节略	ablt	1
蒸蛋	abnh	1
蒸发	abnt	1
节煤	aboa	1
攻子之盾	abpr	1
萨尔	abqi	1
蒸锅	abqk	1
蒸馏	abqn	1
节后	abrg	1
节操	abrk	1
节制	abrm	1
节气	abrn	1
节拍	abrr	1
萨拉	abru	1
节本	absg	1
蒸笼	abtd	1
节选	abtf	1
萨特	abtr	1
节律	abtv	1
节减	abud	1
节前	abue	1
茁壮	abuf	1
荫凉	abuy	1
节录	abvi	1
节妇	abvv	1
萨姆	abvx	1
欧阳修	abwh	1
节假	abwn	1
节余	abwt	1
节俭	abww	1
节食	abwy	1
节约	abxq	1
节育	abyc	1
巧取豪夺	abyd	1
节哀	abye	1
荫庇	abyx	1
鞍马劳顿	acag	1
茅草	acaj	1
戒骄戒躁	acak	1
苔藓	acaq	1
芭蕉	acaw	1
欧巴桑	accc	1
茅台	acck	1
斯巴达克	acdd	1
茅厕	acdm	1
斯巴达	acdp	1
茎干	acfg	1
茅坑	acfy	1
戎马一生	acgt	1
茅台酒	acis	1
雅马哈	ackw	1
茅山	acmm	1
茅屋	acng	1
功能性	acnt	1
节能灯	acos	1
勤能补拙	acpr	1
茅盾	acrf	1
茅棚	acse	1
茎杆	acsf	1
匹马单枪	acus	1
茅舍	acwf	1
戎马倥偬	acww	1
莫桑比克	acxd	1
芭比	acxx	1
茅房	acyn	1
茅庐	acyy	1
藏匿	adaa	1
苦苦	adad	1
