# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
藏匿	aaaa	2303623
恭恭敬敬	aaaa	358451
黄花菜	aaae	537181
工巧	aaag	438880
葡萄牙	aaah	14993411
花花世界	aaal	2244047
工艺	aaan	81123294
工匠	aaar	3524941
工区	aaar	821162
藏医	aaat	394197
工薪	aaau	9025835
劳苦功高	aaay	538174
式子	aabb	442851
草草了事	aabg	147948
芙蓉出水	aabi	132061
茕茕孑立	aabu	127096
戒除	aabw	912512
藏戏	aaca	88173
工友	aadc	1777364
藏历	aade	404127
工厂	aadg	53718117
藏在	aadh	12312470
花花太岁	aadm	113195
工矿	aado	4885270
落荒而逃	aadq	1499341
落花有意	aadu	467675
工期	aadw	7069741
落落大方	aady	880738
勤工助学	aaei	448809
藏胞	aaeq	141990
节节胜利	aaet	82016
工地	aafb	10425882
苏东坡	aafb	1400047
工运	aafc	503421
蓬蓬勃勃	aaff	260150
葡萄干	aafg	750663
工场	aafn	4746258
藏青	aage	320720
工于	aagf	439872
工夫	aagg	19263058
戒严	aago	797331
勤劳致富	aagp	611651
戒毒	aagx	2710729
七七事变	aagy	350508
工卡	aahh	159863
工具	aahw	423985882
莘莘学子	aaib	1827011
卧薪尝胆	aaie	913505
葡萄汁	aaif	584842
落花流水	aaii	1390117
工党	aaip	754635
葡萄酒	aais	15589176
戒酒	aais	975068
工艺流程	aait	3336282
牙牙学语	aaiy	264122
工时	aajf	1707858
蕴藏量	aajg	428950
蒸蒸日上	aajh	2303623
工蜂	aajt	546117
工艺品	aakk	77052235
葡萄园	aalf	892654
工贼	aama	59775
黄花岗	aamm	409091
戒网	aamr	1668141
节节败退	aamv	474625
藏民	aana	769529
菩萨心肠	aane	237312
藏书	aann	7725082
戒心	aany	2780235
葵花籽	aaob	564983
工序	aaoc	10823058
工业	aaoh	182701176
戒烟	aaol	4666823
葡萄糖	aaoo	4368941
工料	aaou	290931
工农	aape	4239858
藏宝	aapg	2293694
菠萝蜜	aapn	2353270
切切实实	aapp	1181600
蔚蓝色	aaqc	732790
茫茫然	aaqd	659312
工钱	aaqg	1936235
匿名	aaqk	122131764
工贸	aaqy	9611670
惹草拈花	aara	5471
藏拙	aarb	273058
戒掉	aarh	1280894
熙熙攘攘	aarr	1985882
工兵	aarw	1797223
戒指	aarx	18667294
工模	aasa	475618
工棚	aase	467675
工本	aasg	2283764
工整	aask	3385929
七巧板	aasr	618602
花草树木	aass	1817082
工工整整	aass	215468
式样	aasu	3604376
工长	aata	669242
工笔	aate	802296
工行	aatg	14298352
芭蕾舞	aatg	2462494
警匪片	aath	805275
工段	aath	432922
蓬荜生辉	aati	176743
工程	aatk	464696470
戒备	aatl	4875341
藏身	aatm	4408658
式微	aatm	1400047
戒条	aats	326677
工科	aatu	4110776
戒律	aatv	1678070
工头	aaud	1856800
工装	aauf	2482352
工部	aauk	1797223
工资	aauq	57491294
工艺美术	aaus	4547670
戒刀	aavn	142983
勤勤恳恳	aavv	1062447
花花公子	aawb	5888141
工会	aawf	29391058
勤工俭学	aawi	1926305
劳燕分飞	aawn	327670
欧共体	aaws	702009
工作	aawt	538174117
工件	aawt	1489411
工分	aawv	1926305
工人	aaww	40313411
藏经	aaxc	5282447
蒙蒙细雨	aaxf	339585
警戒线	aaxg	1539058
医药费	aaxj	2790164
花花绿绿	aaxx	1320611
工读	aayf	318734
藏语	aayg	772508
东莞市	aaym	21248941
芭蕉扇	aayn	303840
蒙蒙亮	aayp	593778
花落谁家	aayp	372352
藏族	aayt	5073929
工薪族	aayt	737755
工商	aayu	116174117
藏文	aayy	713924
节节	abab	4229929
若隐若现	abag	2522070
节能	abce	24724235
萨特	abcf	10028705
英联邦	abdt	585835
节奏	abdw	28696000
萨斯	abdw	3763247
节用	abet	366395
蒸腾	abeu	1688000
节支	abfc	965138
雅皮士	abfg	952230
节下	abgh	800310
节目	abhh	77548705
节点	abhk	12908235
节水	abii	5639905
节油	abim	2412847
蒸汽	abir	9125129
节省	abit	33660705
节流	abiy	1330541
节日	abjj	44880941
节电	abjn	2899388
警卫员	abkm	499449
蒸发	abnt	8410211
节煤	abof	372352
荫庇	abox	141990
萨尔	abqi	3663952
蒸锅	abqk	651369
蒸馏	abqn	2472423
节后	abrg	6652705
节操	abrk	310790
节拍	abrr	4815764
节气	abrt	3207200
蒸气	abrt	2760376
萨拉	abru	2551858
节本	absg	384268
蒸笼	abtd	718889
节选	abtf	2323482
节制	abtg	3902258
节律	abtv	1290823
节减	abud	83009
节前	abue	6533552
茁壮	abuf	1270964
荫凉	abuy	369374
节录	abvi	576898
节妇	abvv	139011
萨姆	abvx	1340470
节余	abwg	644418
欧阳修	abwh	836056
节假	abwn	384268
节俭	abww	2313552
节食	abwy	1827011
节约	abxq	51235764
蒸熟	abyb	2581647
节育	abyc	1360329
巧取豪夺	abyd	491505
节哀	abye	592785
莱阳市	abym	615623
芭蕾	acaf	3495152
鞍马劳顿	acag	45079
茅草	acaj	1251105
戒骄戒躁	acak	367388
苔藓	acaq	935350
芭蕉	acaw	2700800
茅台	acck	1966023
茅厕	acdm	113195
茎干	acfg	140004
茅坑	acfy	444837
戎马一生	acgt	131068
茅台酒	acis	612644
雅马哈	ackw	1151811
茅屋	acng	1419905
茅庐	acoy	272065
勤能补拙	acpr	260150
英特尔	acqi	12511058
功能键	acqv	1479482
茅盾	acrf	537181
茎杆	acsf	219440
蒙特利尔	actq	2313552
匹马单枪	acus	9720
茅舍	acwf	343557
戎马倥偬	acww	79137
莫桑比克	acxd	1161741
茅房	acyn	472640
苦工	adaa	675200
雅克萨	adab	50342
苦苦	adad	11617411
苦功	adae	821162
若有若无	adaf	367388
葳蕤	adag	309797
藏龙卧虎	adah	1052517
葫芦	aday	11617411
惹出	adbm	1102164
苦参	adcd	796338
若能	adce	6037082
戎马	adcg	527251
苦难	adcw	8300988
若有	adde	29887529
节奏感	addg	1489411
若不	addh	14695529
茂盛	addn	3207200
莽原	addr	190644
蒙太奇	adds	875774
攻其不备	addt	245256
萨克斯	addw	3227058
苦胆	adej	268094
巧克力	aden	21546823
苦力	aden	3574588
若用	adet	1618494
劳而无功	adfa	258164
若需	adfd	2333411
若干	adfg	59377882
苦干	adfg	2442635
惹不起	adfh	1211388
惹起	adfh	748677
敬而远之	adfp	1112094
若无	adfq	5034211
苦不堪言	adfy	2124894
巧夺天工	adga	934357
苦于	adgf	3276705
若夫	adgg	201567
惹事	adgk	1668141
若再	adgm	1866729
