# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
恭恭敬敬	aaaa	1
工戈草头右框七	aaaa	1
工期	aaad	1
黄花菜	aaae	1
工巧	aaag	1
葡萄牙	aaah	1
花花世界	aaal	1
工艺	aaan	1
工匠	aaar	1
工区	aaar	1
工薪	aaau	1
斯蒂芬	aaaw	1
欺世惑众	aaaw	1
劳苦功高	aaay	1
草草了事	aabg	1
芙蓉出水	aabi	1
工薪阶层	aabn	1
医药卫生	aabt	1
茕茕孑立	aabu	1
工联	aabu	1
戒除	aabw	1
勤劳勇敢	aacn	1
艺苑奇葩	aada	1
工友	aadc	1
工厂	aadg	1
花花太岁	aadm	1
工矿	aado	1
落荒而逃	aadq	1
攻其不备	aadt	1
落花有意	aadu	1
劳苦大众	aadw	1
落落大方	aady	1
工架	aaek	1
工力	aaen	1
节节胜利	aaet	1
工地	aafb	1
工运	aafc	1
蓬蓬勃勃	aaff	1
葡萄干	aafg	1
苏东坡	aafh	1
工场	aafn	1
工夫	aafw	1
工致	aagc	1
工于	aagf	1
工工整整	aagg	1
工整	aagk	1
工事	aagk	1
戒严	aago	1
勤劳致富	aagp	1
戒毒	aagx	1
七七事变	aagy	1
工卡	aahg	1
工频	aahh	1
工具	aahw	1
工龄	aahw	1
莘莘学子	aaib	1
卧薪尝胆	aaie	1
葡萄汁	aaif	1
区区小事	aaig	1
工艺水平	aaig	1
落花流水	aaii	1
工党	aaip	1
葡萄酒	aais	1
戒酒	aais	1
工艺流程	aait	1
牙牙学语	aaiy	1
工时	aajf	1
蕴藏量	aajg	1
蒸蒸日上	aajh	1
工日	aajj	1
工蜂	aajt	1
工艺品	aakk	1
苏共中央	aakm	1
葡萄园	aalf	1
东欧国家	aalp	1
雅斯贝尔斯	aama	1
工贼	aama	1
黄花岗	aamm	1
戒网	aamr	1
节节败退	aamv	1
菩萨心肠	aane	1
草草收场	aanf	1
戒心	aany	1
葵花籽	aaob	1
工序	aaoc	1
工业	aaog	1
戒烟	aaol	1
葡萄糖	aaoo	1
工料	aaou	1
期颐之寿	aapd	1
工农	aape	1
菠萝蜜	aapn	1
切切实实	aapp	1
蔚蓝色	aaqc	1
茫茫然	aaqd	1
工钱	aaqf	1
匿名	aaqk	1
工贸	aaqy	1
惹草拈花	aara	1
苦苦探索	aarf	1
工兵	aarg	1
戒掉	aarh	1
芭蕾舞	aarl	1
熙熙攘攘	aarr	1
戒指	aarx	1
工模	aasa	1
工棚	aase	1
工本	aasg	1
七巧板	aasr	1
花草树木	aass	1
式样	aasu	1
工长	aata	1
勤劳智慧	aatd	1
工行	aatg	1
警匪片	aath	1
蓬荜生辉	aati	1
工程	aatk	1
工种	aatk	1
戒备	aatl	1
戒条	aats	1
工笔	aatt	1
莫斯科	aatu	1
工科	aatu	1
戒律	aatv	1
工委	aatv	1
工头	aaud	1
萌芽状态	aaud	1
工装	aauf	1
蕴藏着	aaug	1
工部	aauk	1
工艺美术品	aauk	1
工资	aauq	1
欺世盗名	aauq	1
工艺美术	aaus	1
戒刀	aavn	1
勤勤恳恳	aavv	1
花花公子	aawb	1
工段	aawd	1
工会	aawf	1
工余	aawg	1
勤工俭学	aawi	1
劳燕分飞	aawn	1
欧共体	aaws	1
工作	aawt	1
工件	aawt	1
工伤	aawt	1
工分	aawv	1
工人	aaww	1
世世代代	aaww	1
草菅人命	aaww	1
警戒线	aaxf	1
蒙蒙细雨	aaxf	1
医药费	aaxj	1
花花绿绿	aaxx	1
工读	aayf	1
苦苦哀求	aayg	1
蒙蒙亮	aayk	1
东莞市	aaym	1
芭蕉扇	aayn	1
匿迹	aayo	1
花落谁家	aayp	1
工薪族	aayt	1
工商	aayu	1
工交	aayw	1
工效	aayw	1
节节	abab	1
萨斯	abad	1
若隐若现	abag	1
菡萏	abaq	1
荫翳	abat	1
节能	abce	1
英联邦	abdt	1
节奏	abdw	1
节用	abeh	1
蒸腾	abeu	1
节支	abfc	1
节下	abgh	1
节目	abhh	1
节点	abhk	1
节水	abii	1
节油	abim	1
蒸汽	abir	1
节省	abit	1
节流	abiy	1
节日	abjj	1
节电	abjn	1
警卫员	abkm	1
蒸发	abnt	1
节煤	aboa	1
荫庇	abox	1
萨尔	abqi	1
蒸锅	abqk	1
蒸馏	abqn	1
节后	abrg	1
节操	abrk	1
节制	abrm	1
蒸气	abrn	1
节气	abrn	1
节拍	abrr	1
萨拉	abru	1
节本	absg	1
蒸笼	abtd	1
节选	abtf	1
萨特	abtf	1
节律	abtv	1
节前	abue	1
茁壮	abuf	1
荫凉	abuy	1
节录	abvi	1
节妇	abvv	1
萨姆	abvx	1
节余	abwg	1
欧阳修	abwh	1
节假	abwn	1
节俭	abww	1
节食	abwy	1
节约	abxq	1
节育	abyc	1
巧取豪夺	abyd	1
蒸熟	abyk	1
节哀	abyk	1
基隆市	abym	1
莱阳市	abym	1
芭蕾	acaf	1
茅草	acaj	1
戒骄戒躁	acak	1
苔藓	acaq	1
芭蕉	acaw	1
节能降耗	acbd	1
茅台	acck	1
斯巴达克	acdd	1
茅厕	acdm	1
斯巴达	acdp	1
英勇奋斗	acdu	1
茎干	acfg	1
英勇献身	acft	1
茅坑	acfy	1
节能型	acga	1
戎马一生	acgt	1
茅台酒	acis	1
七台河	acis	1
雅马哈	ackw	1
茅屋	acng	1
欺骗性	acnt	1
勤能补拙	acpr	1
功能键	acqv	1
茅盾	acrf	1
茎杆	acsf	1
戎马生涯	acti	1
英勇行为	acty	1
英勇善战	acuh	1
英勇斗争	acuq	1
匹马单枪	acus	1
茅舍	acwf	1
戎马倥偬	acww	1
莫桑比克	acxd	1
茅房	acyn	1
藏匿	adaa	1
苦工	adaa	1
雅克萨	adab	1
斯基	adad	1
苦苦	adad	1
萨克斯	adad	1
苦功	adae	1
若有若无	adaf	1
巨大贡献	adaf	1
葳蕤	adag	1
藏龙卧虎	adah	1
甚或	adak	1
欺世	adan	1
基础工业	adao	1
藏医	adat	1
基础工程	adat	1
葫芦	aday	1
巨大障碍	adbd	1
其职	adbk	1
惹出	adbm	1
基隆	adbt	1
期限	adbv	1
藏戏	adca	1
苦参	adcd	1
若能	adce	1
欺骗	adcg	1
戎马	adcg	1
苦难	adcw	1
基础	addb	1
甚大	addd	1
若有	adde	1
藏历	adde	1
欺压	addf	1
英雄有用武之地	addf	1
基石	addg	1
其三	addg	1
节奏感	addg	1
若不	addh	1
藏在	addh	1
甚而	addm	1
茂盛	addn	1
基础研究	addp	1
莽原	addr	1
蒙太奇	adds	1
雅而不俗	addw	1
巨大成就	addy	1
基肥	adec	1
若用	adeh	1
其用	adeh	1
苦胆	adej	1
巨大力量	adej	1
巧克力	aden	1
苦力	aden	1
甚受	adep	1
藏胞	adeq	1
巨大胜利	adet	1
劳而无功	adfa	1
基地	adfb	1
若需	adfd	1
项城	adfd	1
英雄无用武之地	adff	1
若干	adfg	1
其二	adfg	1
苦干	adfg	1
基干	adfg	1
惹起	adfh	1
惹不起	adfh	1
期刊	adfj	1
蒙在鼓里	adfj	1
敬而远之	adfp	1
若无	adfq	1
甚远	adfq	1
期考	adft	1
其境	adfu	1
斯威士兰	adfu	1
若夫	adfw	1
基础教育	adfy	1
苦不堪言	adfy	1
巧夺天工	adga	1
荣辱与共	adga	1
甚至	adgc	1
惹到	adgc	1
藏青	adge	1
基于	adgf	1
苦于	adgf	1
甚于	adgf	1
功大于过	adgf	1
其一	adgg	1
其下	adgh	1
惹事	adgk	1
若再	adgm	1
若与	adgn	1
惹来	adgo	1
划不来	adgo	1
苦熬	adgq	1
七百万	adgq	1
英雄形象	adgq	1
期末	adgs	1
其妻	adgv	1
基础理论	adgy	1
英雄事迹	adgy	1
欺瞒	adha	1
英雄辈出	adhb	1
若非	adhd	1
基督	adhg	1
基础上	adhg	1
项目	adhh	1
苦战	adhk	1
基点	adhk	1
惹眼	adhv	1
期盼	adhw	1
藉此	adhx	1
期满	adia	1
綦江	adia	1
莽汉	adic	1
工布江达	adid	1
巨大潜力	adie	1
荐举	adig	1
苦水	adii	1
勘测	adim	1
勤奋学习	adin	1
苦学	adip	1
苦酒	adis	1
苦海	adit	1
苦涩	adiv	1
其时	adjf	1
若是	adjg	1
莫不是	adjg	1
期日	adjj	1
巨大影响	adjk	1
若遇	adjm	1
贡布里希	adjr	1
苦果	adjs	1
苦味	adkf	1
其中	adkh	1
期中	adkh	1
藉口	adkk	1
藏品	adkk	1
基因	adld	1
基团	adlf	1
基辅	adlg	1
其四	adlh	1
苦思	adln	1
项圈	adlu	1
苦累	adlx	1
基岩	admd	1
藉由	admh	1
期内	admw	1
其内	admw	1
藏民	adna	1
莱布尼茨	adna	1
基层	adnf	1
苦情	adng	1
藏书	adnn	1
项羽	adnn	1
藏民	adnn	1
基础性	adnt	1
莱布尼兹	adnu	1
苦恼	adny	1
苦心	adny	1
蕨类	adod	1
基业	adog	1
惹火	adoo	1
基底	adoq	1
世态炎凉	adou	1
基数	adov	1
基座	adow	1
藕粉	adow	1
甚广	adoy	1
苦寒	adpa	1
藏宝	adpg	1
茂密	adpn	1
欺客	adpt	1
其实	adpu	1
勘察	adpw	1
其它	adpx	1
惹祸	adpy	1
基色	adqc	1
其解	adqe	1
其外	adqh	1
茂名	adqk	1
其名	adqk	1
项链	adql	1
欺负	adqm	1
蒙古包	adqn	1
基金	adqq	1
惹急	adqv	1
功成名就	adqy	1
藏拙	adrb	1
苦瓜	adrc	1
基质	adrf	1
其后	adrg	1
若有所思	adrl	1
其所	adrn	1
勘探	adrp	1
